   75 [desired|良]              
   76 [undesired|莠]            
   81 [desired|良]              
  101 [undesired|莠]            
  104 [undesired|莠,#medical|医] 
  105 [disease|疾病,undesired|莠,#medical|医] 
  106 [disease|疾病,undesired|莠,#medical|医] 
  107 [disease|疾病,undesired|莠,#medical|医] 
  108 [disease|疾病,undesired|莠,#medical|医] 
  109 [disease|疾病,undesired|莠,#medical|医] 
  110 [disease|疾病,undesired|莠,#medical|医] 
  111 [disease|疾病,undesired|莠,#medical|医] 
  112 [disease|疾病,undesired|莠,#medical|医] 
  113 [disease|疾病,undesired|莠,#medical|医] 
  114 [disease|疾病,undesired|莠,#medical|医] 
  115 [disease|疾病,undesired|莠,#medical|医] 
  116 [disease|疾病,undesired|莠,#medical|医] 
  117 [disease|疾病,undesired|莠,#medical|医] 
  118 [disease|疾病,undesired|莠,#medical|医] 
  119 [disease|疾病,undesired|莠,#medical|医] 
  121 [undesired|莠]            
  122 [undesired|莠]            
  123 [undesired|莠]            
  124 [undesired|莠]            
  125 [undesired|莠]            
  126 [undesired|莠]            
  127 [undesired|莠]            
  128 [undesired|莠]            
  129 [undesired|莠]            
  131 [undesired|莠]            
  135 [undesired|莠]            
  142 [desired|良]              
  149 [undesired|莠]            
  168 [desired|良]              
  262 [crime|罪]                
  263 [crime|罪]                
  264 [crime|罪]                
  266 [commercial|商]           
  272 [#GetMarried|结婚]        
  274 [commercial|商]           
  284 [commercial|商]           
  286 [commercial|商]           
  289 [#GetMarried|结婚]        
  292 [commercial|商]           
  337 [instrument=leg|腿,instrument=foot|脚] 
  338 [instrument=leg|腿,instrument=foot|脚] 
  339 [instrument=leg|腿,instrument=foot|脚] 
  340 [instrument=leg|腿,instrument=foot|脚,instrument=hand|手] 
  343 [location=#liquid|液]     
  344 [#liquid|液]              
  345 [location=sky|空域]       
  492 [undesired|莠]            
  511 [sport|体育]              
  512 [SelfMove|自移]           
  514 [undesired|莠]            
  515 [undesired|莠]            
  533 [medical|医]              
  545 [#wealth|钱财]            
  735 [military|军,police|警]   
  736 [medical|医]              
  814 [#time|时间,#space|空间]  
  815 [!appearance|外观]        
  816 [*alive|活着,!age|年龄,*die|死,*metabolize|代谢] 
